recetteID,nom_recette,ingredient_1,ingredient_1_vegan,ingredient_2,ingredient_2_vegan,ingredient_3,ingredient_3_vegan,ingredient_4,ingredient_4_vegan,ingredient_5,ingredient_5_vegan,ingredient_6,ingredient_6_vegan,nom_recette_vegan_equivalente,ingredient_vegan_1,ingredient_vegan_1_vegan,ingredient_vegan_2,ingredient_vegan_2_vegan,ingredient_vegan_3,ingredient_vegan_3_vegan,ingredient_vegan_4,ingredient_vegan_4_vegan,ingredient_vegan_5,ingredient_vegan_5_vegan,ingredient_vegan_6,ingredient_vegan_6_vegan
201,Soufflé au fromage,Lait,N,Beurre,N,Farine,Y,Œufs,N,Gruyère,N,Muscade,Y,Soufflé végane au fromage,Lait de soja,Y,Beurre végétal,Y,Farine,Y,Aquafaba,Y,Fromage végétal,Y,Muscade,Y
202,Beignets de fleurs de courgette,Fleurs de courgette,Y,Farine,Y,Œufs,N,Lait,N,Huile,Y,Sel,Y,Beignets véganes,Fleurs de courgette,Y,Farine,Y,Aquafaba,Y,Lait végétal,Y,Huile,Y,Sel,Y
203,Soupe de poisson méditerranéenne,Rascasse,N,Congre,N,Tomates,Y,Safran,Y,Fenouil,Y,Huile d'olive,Y,Soupe végane méditerranéenne,Algues wakame,Y,Champignons,Y,Tomates,Y,Safran,Y,Fenouil,Y,Huile d'olive,Y
204,Crème de marrons,Marrons,Y,Lait,N,Sucre,Y,Vanille,Y,Crème fraîche,N,Beurre,N,Crème végane de marrons,Marrons,Y,Lait de coco,Y,Sucre,Y,Vanille,Y,Crème de coco,Y,Beurre végétal,Y
205,Gratin de potiron,Potiron,Y,Crème fraîche,N,Gruyère,N,Muscade,Y,Beurre,N,Thym,Y,Gratin végane potiron,Potiron,Y,Crème de soja,Y,Fromage végétal,Y,Muscade,Y,Beurre végétal,Y,Thym,Y
206,Velouté de topinambours,Topinambours,Y,Crème fraîche,N,Bouillon,N,Beurre,N,Noisettes,Y,Ciboulette,Y,Velouté végane topinambours,Topinambours,Y,Crème de soja,Y,Bouillon végétal,Y,Beurre végétal,Y,Noisettes,Y,Ciboulette,Y
207,Consommé de volaille,Poule,N,Légumes,Y,Blancs d'œufs,N,Bouquet garni,Y,Sel,Y,Poivre,Y,Consommé végétal,Champignons shiitake,Y,Légumes,Y,Aquafaba,Y,Bouquet garni,Y,Sel,Y,Poivre,Y
208,Potage crécy,Carottes,Y,Riz,Y,Bouillon,N,Beurre,N,Crème fraîche,N,Persil,Y,Potage végane crécy,Carottes,Y,Riz,Y,Bouillon végétal,Y,Beurre végétal,Y,Crème de soja,Y,Persil,Y
209,Soupe aux choux,Choux,Y,Lard,N,Saucisse,N,Pommes de terre,Y,Carottes,Y,Oignons,Y,Soupe végane aux choux,Choux,Y,Tempeh fumé,Y,Saucisse végétale,Y,Pommes de terre,Y,Carottes,Y,Oignons,Y
210,Velouté d'asperges,Asperges,Y,Crème fraîche,N,Bouillon,N,Beurre,N,Ciboulette,Y,Muscade,Y,Velouté végane asperges,Asperges,Y,Crème de coco,Y,Bouillon végétal,Y,Beurre végétal,Y,Ciboulette,Y,Muscade,Y
211,Soupe de pois cassés,Pois cassés,Y,Lard,N,Carottes,Y,Oignons,Y,Bouquet garni,Y,Bouillon,N,Soupe végane pois cassés,Pois cassés,Y,Tempeh fumé,Y,Carottes,Y,Oignons,Y,Bouquet garni,Y,Bouillon végétal,Y
212,Bisque d'écrevisses,Écrevisses,N,Crème fraîche,N,Cognac,Y,Tomates,Y,Riz,Y,Beurre,N,Bisque végane rouge,Tomates cerises,Y,Crème de coco,Y,Cognac,Y,Tomates,Y,Riz,Y,Beurre végétal,Y
213,Velouté de panais,Panais,Y,Crème fraîche,N,Bouillon,N,Beurre,N,Muscade,Y,Persil,Y,Velouté végane panais,Panais,Y,Crème de soja,Y,Bouillon végétal,Y,Beurre végétal,Y,Muscade,Y,Persil,Y
214,Soupe gratinée lyonnaise,Bouillon de bœuf,N,Oignons,Y,Vin blanc,Y,Gruyère,N,Pain,Y,Beurre,N,Soupe gratinée végane,Bouillon végétal,Y,Oignons,Y,Vin blanc,Y,Fromage végétal,Y,Pain,Y,Beurre végétal,Y
215,Waterzoï de poisson,Poissons blancs,N,Poireaux,Y,Carottes,Y,Crème fraîche,N,Vin blanc,Y,Persil,Y,Waterzoï végane,Tofu,Y,Poireaux,Y,Carottes,Y,Crème de soja,Y,Vin blanc,Y,Persil,Y
216,Potée auvergnate,Choux,Y,Lard,N,Saucisse,N,Pommes de terre,Y,Haricots blancs,Y,Carottes,Y,Potée végane auvergnate,Choux,Y,Tempeh,Y,Saucisse végétale,Y,Pommes de terre,Y,Haricots blancs,Y,Carottes,Y
217,Hochepot,Bœuf,N,Porc,N,Légumes,Y,Chou,Y,Carottes,Y,Navets,Y,Hochepot végane,Seitan,Y,Tempeh,Y,Légumes,Y,Chou,Y,Carottes,Y,Navets,Y
218,Potage cultivateur,Légumes variés,Y,Lard,N,Pommes de terre,Y,Haricots verts,Y,Persil,Y,Bouillon,N,Potage végane cultivateur,Légumes variés,Y,Tempeh fumé,Y,Pommes de terre,Y,Haricots verts,Y,Persil,Y,Bouillon végétal,Y
219,Velouté de céleri,Céleri branche,Y,Crème fraîche,N,Bouillon,N,Beurre,N,Roquefort,N,Noix,Y,Velouté végane céleri,Céleri branche,Y,Crème de soja,Y,Bouillon végétal,Y,Beurre végétal,Y,Fromage végétal,Y,Noix,Y
220,Soupe au vermicelle,Vermicelles,Y,Bouillon de poule,N,Carottes,Y,Poireaux,Y,Persil,Y,Beurre,N,Soupe végane vermicelle,Vermicelles,Y,Bouillon végétal,Y,Carottes,Y,Poireaux,Y,Persil,Y,Beurre végétal,Y
221,Escalope milanaise,Veau,N,Chapelure,Y,Œufs,N,Parmesan,N,Citron,Y,Beurre,N,Escalope végane milanaise,Seitan,Y,Chapelure,Y,Aquafaba,Y,Parmesan végétal,Y,Citron,Y,Beurre végétal,Y
222,Osso buco à la milanaise,Jarret de veau,N,Tomates,Y,Vin blanc,Y,Gremolata,Y,Risotto,Y,Bouillon,N,Osso buco végane,Seitan épais,Y,Tomates,Y,Vin blanc,Y,Gremolata,Y,Risotto,Y,Bouillon végétal,Y
223,Saltimbocca,Veau,N,Jambon de Parme,N,Sauge,Y,Vin blanc,Y,Beurre,N,Citron,Y,Saltimbocca végane,Seitan,Y,Jambon végétal,Y,Sauge,Y,Vin blanc,Y,Beurre végétal,Y,Citron,Y
224,Vitello tonnato moderne,Veau,N,Thon,N,Mayonnaise,N,Câpres,Y,Anchois,N,Citron,Y,Vitello végane moderne,Seitan,Y,Pois chiches,Y,Mayonnaise végane,Y,Câpres,Y,Algue nori,Y,Citron,Y
225,Carpaccio de Saint-Jacques,Saint-Jacques,N,Huile d'olive,Y,Citron vert,Y,Gingembre,Y,Coriandre,Y,Piment,Y,Carpaccio végane,Champignons king oyster,Y,Huile d'olive,Y,Citron vert,Y,Gingembre,Y,Coriandre,Y,Piment,Y
226,Tartare de thon,Thon,N,Avocat,Y,Citron,Y,Huile d'olive,Y,Câpres,Y,Échalotes,Y,Tartare végane,Tomates,Y,Avocat,Y,Citron,Y,Huile d'olive,Y,Câpres,Y,Échalotes,Y
227,Saumon gravlax,Saumon,N,Aneth,Y,Sucre,Y,Sel,Y,Poivre,Y,Moutarde,Y,Saumon végane gravlax,Carotte,Y,Aneth,Y,Sucre,Y,Sel,Y,Poivre,Y,Moutarde,Y
228,Ceviche de dorade,Dorade,N,Citron vert,Y,Oignons,Y,Coriandre,Y,Piment,Y,Avocat,Y,Ceviche végane,Champignons,Y,Citron vert,Y,Oignons,Y,Coriandre,Y,Piment,Y,Avocat,Y
229,Tartare de saumon,Saumon,N,Avocat,Y,Citron,Y,Aneth,Y,Câpres,Y,Échalotes,Y,Tartare végane saumon,Betterave,Y,Avocat,Y,Citron,Y,Aneth,Y,Câpres,Y,Échalotes,Y
230,Crudo de bar,Bar,N,Huile d'olive,Y,Citron,Y,Fleur de sel,Y,Poivre,Y,Basilic,Y,Crudo végane,Radis noir,Y,Huile d'olive,Y,Citron,Y,Fleur de sel,Y,Poivre,Y,Basilic,Y
231,Tiramisu,Mascarpone,N,Œufs,N,Sucre,Y,Café,Y,Cacao,Y,Biscuits,Y,Tiramisu végane,Mascarpone végétal,Y,Aquafaba,Y,Sucre,Y,Café,Y,Cacao,Y,Biscuits véganes,Y
232,Panna cotta,Crème fraîche,N,Gélatine,N,Sucre,Y,Vanille,Y,Fruits rouges,Y,,Panna cotta végane,Crème de coco,Y,Agar-agar,Y,Sucre,Y,Vanille,Y,Fruits rouges,Y,Lait de cajou,Y
233,Tarte aux fraises,Fraises,Y,Pâte sablée,Y,Crème pâtissière,N,Beurre,N,Œufs,N,Sucre,Y,Tarte végane fraises,Fraises,Y,Pâte sablée végane,Y,Crème végane,Y,Beurre végétal,Y,Aquafaba,Y,Sucre,Y
234,Bavarois aux fruits,Crème anglaise,N,Gélatine,N,Fruits,Y,Sucre,Y,Crème chantilly,N,,Bavarois végane,Crème végétale,Y,Agar-agar,Y,Fruits,Y,Sucre,Y,Chantilly végétale,Y,Lait de coco,Y
235,Charlotte aux framboise,Biscuits à la cuillère,Y,Framboises,Y,Crème mousseuse,N,Gélatine,N,Sucre,Y,,Charlotte végane framboise,Biscuits véganes,Y,Framboises,Y,Mousse végétale,Y,Agar-agar,Y,Sucre,Y,Aquafaba,Y
236,Clafoutis aux abricots,Abricots,Y,Lait,N,Œufs,N,Farine,Y,Sucre,Y,Beurre,N,Clafoutis végane abricots,Abricots,Y,Lait d'amande,Y,Aquafaba,Y,Farine,Y,Sucre,Y,Huile coco,Y
237,Tarte aux poires,Poires,Y,Pâte brisée,Y,Crème d'amande,Y,Beurre,N,Œufs,N,Sucre,Y,Tarte végane poires,Poires,Y,Pâte brisée,Y,Crème d'amande,Y,Beurre végétal,Y,Aquafaba,Y,Sucre,Y
238,Flan pâtissier,Lait,N,Œufs,N,Sucre,Y,Farine,Y,Vanille,Y,Pâte brisée,Y,Flan végane,Lait de soja,Y,Tofu soyeux,Y,Sucre,Y,Farine,Y,Vanille,Y,Pâte brisée,Y
239,Tarte tropézienne,Brioche,N,Crème pâtissière,N,Crème chantilly,N,Sucre perlé,Y,Œufs,N,Beurre,N,Tropézienne végane,Brioche végane,Y,Crème végane,Y,Chantilly végétale,Y,Sucre perlé,Y,Aquafaba,Y,Beurre végétal,Y
240,Mille-feuille à la vanille,Pâte feuilletée,Y,Crème pâtissière,N,Fondant,Y,Vanille,Y,Beurre,N,Sucre,Y,Mille-feuille végane,Pâte feuilletée,Y,Crème végane vanille,Y,Fondant végane,Y,Vanille,Y,Beurre végétal,Y,Sucre,Y
241,Chouquettes,Pâte à choux,Y,Œufs,N,Beurre,N,Sucre perlé,Y,Lait,N,Farine,Y,Chouquettes véganes,Pâte à choux végane,Y,Aquafaba,Y,Beurre végétal,Y,Sucre perlé,Y,Lait végétal,Y,Farine,Y
242,Pets de nonne,Pâte à choux,Y,Œufs,N,Beurre,N,Huile,Y,Sucre,Y,Farine,Y,Pets de nonne véganes,Pâte à choux végane,Y,Aquafaba,Y,Beurre végétal,Y,Huile,Y,Sucre,Y,Farine,Y
243,Choux à la crème,Pâte à choux,Y,Crème chantilly,N,Œufs,N,Beurre,N,Sucre,Y,Farine,Y,Choux véganes crème,Pâte à choux végane,Y,Chantilly végétale,Y,Aquafaba,Y,Beurre végétal,Y,Sucre,Y,Farine,Y
244,Salambo,Pâte à choux,Y,Crème pâtissière,N,Caramel,Y,Œufs,N,Beurre,N,Farine,Y,Salambo végane,Pâte à choux végane,Y,Crème végane,Y,Caramel végétal,Y,Aquafaba,Y,Beurre végétal,Y,Farine,Y
245,Savarin,Pâte à savarin,Y,Rhum,Y,Crème chantilly,N,Beurre,N,Œufs,N,Fruits,Y,Savarin végane,Pâte végane,Y,Rhum,Y,Chantilly végétale,Y,Beurre végétal,Y,Aquafaba,Y,Fruits,Y
246,Baba au rhum,Pâte à brioche,N,Rhum,Y,Crème chantilly,N,Beurre,N,Œufs,N,Raisins,Y,Baba végane,Pâte végane,Y,Rhum,Y,Chantilly végétale,Y,Beurre végétal,Y,Aquafaba,Y,Raisins,Y
247,Tarte bourdaloue,Poires,Y,Crème d'amande,Y,Pâte brisée,Y,Beurre,N,Œufs,N,Amandes,Y,Tarte végane bourdaloue,Poires,Y,Crème d'amande,Y,Pâte brisée,Y,Beurre végétal,Y,Aquafaba,Y,Amandes,Y
248,Saint-Genix,Brioche,N,Pralines roses,Y,Crème,N,Beurre,N,Œufs,N,Sucre,Y,Saint-Genix végane,Brioche végane,Y,Pralines roses,Y,Crème végétale,Y,Beurre végétal,Y,Aquafaba,Y,Sucre,Y
249,Visitandine,Beurre noisette,N,Amandes,Y,Blancs d'œufs,N,Sucre,Y,Farine,Y,Miel,Y,Visitandine végane,Beurre végétal,Y,Amandes,Y,Aquafaba,Y,Sucre,Y,Farine,Y,Sirop d'agave,Y
250,Tarte à la rhubarbe,Rhubarbe,Y,Pâte brisée,Y,Crème d'amande,Y,Beurre,N,Œufs,N,Sucre,Y,Tarte végane rhubarbe,Rhubarbe,Y,Pâte brisée,Y,Crème d'amande,Y,Beurre végétal,Y,Aquafaba,Y,Sucre,Y
251,Saucisse de Toulouse,Porc,N,Boyau naturel,N,Ail,Y,Persil,Y,Vin rouge,Y,Épices,Y,Saucisse végétale Toulouse,Protéines de blé,Y,Boyau végétal,Y,Ail,Y,Persil,Y,Vin rouge,Y,Épices,Y
252,Merguez,Agneau,N,Bœuf,N,Harissa,Y,Ail,Y,Coriandre,Y,Boyau,N,Merguez végétales,Protéines végétales,Y,Seitan,Y,Harissa,Y,Ail,Y,Coriandre,Y,Boyau végétal,Y
253,Boudin antillais,Sang de porc,N,Riz,Y,Piment,Y,Oignons,Y,Thym,Y,Boyau,N,Boudin végétal antillais,Riz noir,Y,Riz,Y,Piment,Y,Oignons,Y,Thym,Y,Boyau végétal,Y
254,Andouille de Vire,Tripes,N,Chaudin,N,Sel,Y,Poivre,Y,Épices,Y,,Andouille végétale,Champignons king oyster,Y,Algues,Y,Sel,Y,Poivre,Y,Épices,Y,Fumage liquide,Y
255,Saucisson sec,Porc,N,Lard,N,Ail,Y,Sel,Y,Poivre,Y,Ferments,Y,Saucisson végétal sec,Seitan,Y,Graisse végétale,Y,Ail,Y,Sel,Y,Poivre,Y,Ferments végétaux,Y
256,Jambon de Bayonne,Jambon,N,Sel de Salies,Y,Piment d'Espelette,Y,,,Jambon végétal Bayonne,Seitan fumé,Y,Sel de Salies,Y,Piment d'Espelette,Y,Fumage végétal,Y,Protéines de blé,Y,Huile d'olive,Y
257,Coppa,Échine de porc,N,Sel,Y,Vin rouge,Y,Épices,Y,Boyau,N,,Coppa végétale,Seitan,Y,Sel,Y,Vin rouge,Y,Épices,Y,Boyau végétal,Y,Betterave,Y
258,Rosette de Lyon,Porc,N,Lard,N,Vin rouge,Y,Ail,Y,Poivre,Y,Boyau,N,Rosette végétale,Seitan,Y,Graisse végétale,Y,Vin rouge,Y,Ail,Y,Poivre,Y,Boyau végétal,Y
259,Chorizo,Porc,N,Paprika,Y,Ail,Y,Vin rouge,Y,Piment,Y,Boyau,N,Chorizo végétal,Protéines végétales,Y,Paprika,Y,Ail,Y,Vin rouge,Y,Piment,Y,Boyau végétal,Y
260,Mortadelle,Porc,N,Lard,N,Pistaches,Y,Poivre,Y,Coriandre,Y,Boyau,N,Mortadelle végétale,Seitan,Y,Graisse végétale,Y,Pistaches,Y,Poivre,Y,Coriandre,Y,Boyau végétal,Y
261,Confit d'oie,Oie,N,Graisse d'oie,N,Thym,Y,Laurier,Y,Ail,Y,Gros sel,Y,Confit végétal d'oie,Champignons shiitake,Y,Huile d'olive,Y,Thym,Y,Laurier,Y,Ail,Y,Gros sel,Y
262,Magret fumé,Canard,N,Sel,Y,Poivre,Y,Thym,Y,Fumage,Y,,Magret végétal fumé,Seitan,Y,Sel,Y,Poivre,Y,Thym,Y,Fumage végétal,Y,Protéines de blé,Y
263,Jambon blanc,Porc,N,Saumure,Y,Épices,Y,,,Jambon végétal blanc,Seitan,Y,Saumure végétale,Y,Épices,Y,Protéines de blé,Y,Huile végétale,Y,Arômes naturels,Y
264,Bresaola,Bœuf,N,Sel,Y,Vin rouge,Y,Épices,Y,Herbes,Y,,Bresaola végétale,Betterave,Y,Sel,Y,Vin rouge,Y,Épices,Y,Herbes,Y,Agar-agar,Y
265,Pancetta,Ventre de porc,N,Sel,Y,Poivre,Y,Fenouil,Y,Thym,Y,,Pancetta végétale,Seitan,Y,Sel,Y,Poivre,Y,Fenouil,Y,Thym,Y,Huile d'olive,Y
266,Gratin de cardons,Cardons,Y,Béchamel,N,Gruyère,N,Moelle,N,Muscade,Y,Beurre,N,Gratin végane cardons,Cardons,Y,Béchamel végane,Y,Fromage végétal,Y,Champignons,Y,Muscade,Y,Beurre végétal,Y
267,Farcis niçois,Tomates,Y,Courgettes,Y,Farce,N,Riz,Y,Herbes,Y,Parmesan,N,Farcis véganes niçois,Tomates,Y,Courgettes,Y,Farce végétale,Y,Riz,Y,Herbes,Y,Fromage végétal,Y
268,Petits farcis provençaux,Légumes variés,Y,Farce,N,Ail,Y,Herbes de Provence,Y,Huile d'olive,Y,Riz,Y,Petits farcis véganes,Légumes variés,Y,Farce végétale,Y,Ail,Y,Herbes de Provence,Y,Huile d'olive,Y,Riz,Y
269,Caillettes,Foie de porc,N,Épinards,Y,Riz,Y,Herbes,Y,Crépine,N,Ail,Y,Caillettes végétales,Lentilles,Y,Épinards,Y,Riz,Y,Herbes,Y,Feuilles de chou,Y,Ail,Y
270,Godiveau,Veau,N,Graisse de rognon,N,Œufs,N,Mie de pain,Y,Muscade,Y,Persil,Y,Godiveau végétal,Tofu,Y,Graisse végétale,Y,Aquafaba,Y,Mie de pain,Y,Muscade,Y,Persil,Y
271,Fricadelles,Porc,N,Bœuf,N,Œufs,N,Chapelure,Y,Oignons,Y,Persil,Y,Fricadelles végétales,Protéines végétales,Y,Seitan,Y,Aquafaba,Y,Chapelure,Y,Oignons,Y,Persil,Y
272,Boulettes de viande,Bœuf,N,Porc,N,Œufs,N,Mie de pain,Y,Oignons,Y,Persil,Y,Boulettes végétales,Protéines végétales,Y,Lentilles,Y,Aquafaba,Y,Mie de pain,Y,Oignons,Y,Persil,Y
273,Hachis parmentier,Bœuf haché,N,Pommes de terre,Y,Lait,N,Beurre,N,Oignons,Y,Persil,Y,Hachis végane,Protéines végétales,Y,Pommes de terre,Y,Lait végétal,Y,Beurre végétal,Y,Oignons,Y,Persil,Y
274,Moussaka,Aubergines,Y,Agneau,N,Béchamel,N,Tomates,Y,Oignons,Y,Parmesan,N,Moussaka végane,Aubergines,Y,Lentilles,Y,Béchamel végane,Y,Tomates,Y,Oignons,Y,Fromage végétal,Y
275,Shepherd's pie,Agneau,N,Pommes de terre,Y,Carottes,Y,Petits pois,Y,Oignons,Y,Bouillon,N,Shepherd's pie végane,Lentilles,Y,Pommes de terre,Y,Carottes,Y,Petits pois,Y,Oignons,Y,Bouillon végétal,Y
276,Pastitsio,Pâtes,Y,Agneau,N,Béchamel,N,Tomates,Y,Cannelle,Y,Fromage,N,Pastitsio végane,Pâtes,Y,Lentilles,Y,Béchamel végane,Y,Tomates,Y,Cannelle,Y,Fromage végétal,Y
277,Lasagnes,Pâtes,Y,Bœuf,N,Béchamel,N,Tomates,Y,Parmesan,N,Mozzarella,N,Lasagnes véganes,Pâtes,Y,Protéines végétales,Y,Béchamel végane,Y,Tomates,Y,Parmesan végétal,Y,Mozzarella végétale,Y
278,Cannellonis,Pâtes,Y,Ricotta,N,Épinards,Y,Tomates,Y,Parmesan,N,Muscade,Y,Cannellonis véganes,Pâtes,Y,Ricotta végétale,Y,Épinards,Y,Tomates,Y,Parmesan végétal,Y,Muscade,Y
279,Raviolis,Pâtes fraîches,Y,Ricotta,N,Épinards,Y,Œufs,N,Parmesan,N,Muscade,Y,Raviolis véganes,Pâtes fraîches véganes,Y,Ricotta végétale,Y,Épinards,Y,Aquafaba,Y,Parmesan végétal,Y,Muscade,Y
280,Gratin de pâtes,Pâtes,Y,Béchamel,N,Gruyère,N,Jambon,N,Muscade,Y,Beurre,N,Gratin végane de pâtes,Pâtes,Y,Béchamel végane,Y,Fromage végétal,Y,Jambon végétal,Y,Muscade,Y,Beurre végétal,Y
281,Risotto aux champignons,Riz arborio,Y,Champignons,Y,Parmesan,N,Vin blanc,Y,Bouillon,N,Beurre,N,Risotto végane,Riz arborio,Y,Champignons,Y,Parmesan végétal,Y,Vin blanc,Y,Bouillon végétal,Y,Beurre végétal,Y
282,Risotto aux fruits de mer,Riz arborio,Y,Crevettes,N,Moules,N,Vin blanc,Y,Bouillon,N,Parmesan,N,Risotto végane mer,Riz arborio,Y,Algues,Y,Champignons,Y,Vin blanc,Y,Bouillon végétal,Y,Parmesan végétal,Y
283,Paëlla aux fruits de mer,Riz,Y,Crevettes,N,Moules,N,Calamars,N,Safran,Y,Tomates,Y,Paëlla végane mer,Riz,Y,Algues,Y,Champignons,Y,Tofu,Y,Safran,Y,Tomates,Y
