Notice: Tableau 1
Ce tableur comprend les annexes au rapport méthodologique sur les produits alimentaires  AGRIBALYSE. ;;;;
;;;;
www.agribalyse.fr;;;;
;;;;
La base de données est propriétée de l'ADEME, elle est pilotée au sein du GIS Revalim.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Sommaire : ;;Summary :;;
1;Mix de consommation de matières premières – origine des produits;Raw material consumption mix – origin of raw mareial;;
2;Mix de consommation des matière premières pour les aliments les plus emblématiques consommés en France, source de données et années;Consumption mixes of raw materials for the most emblematic foods consumed in France, data source and years;;
3;Parts non comestibles – matière première végétale et oeufs;Inedible parts – vegetable, fruits, nuts and eggs;;
4;Poissons et crustacés : proxy utilisés et parts non comestibles;Fish and shellfish: proxies used and inedible parts;;
5;Poissons et crustacés : jeux de données exclus et  jeux de données ajouté dans AGRIBALYSE 3.0;Fish and shellfish: datasets excluded and datasets added in AGRIBALYSE 3.0;;
6;Densités utilisées;Densities used;;
7;Calcul des volumes d’eau évaporés par le processus de séchage ;Calculation of water volumes evaporated by the drying process ;;
8;Rendements utilisés pour les fromages;Yields used for cheeses;;
9;Recettes utilisées pour les produits CIQUAL : sources;Recipes used for CIQUAL products: sources;;
10;Produits CIQUAL approchés par d'autres recettes / produits CIQUAL;CIQUAL products approached by other CIQUAL recipes / products;;
11;Produits CIQUAL non présents dans Agribalyse;CIQUAL products not present in Agribalyse;;
12;Liste des dummy (données vides);List of dummy (empty data);;

1. Consumption mix: Tableau 1
Mix de consommation de matières premières – origine des produits;;;;;;
;;;;;;
Input/Output;Name of consumption mix;Name of input/output;Quantity;Unit;Comment on proxys / origins;
Input;Almond, consumption mix {FR} U;Almonds, in shell, at farm {CN} - Adapted from WFLDB U;0,5;kg;CN used as a substitute for ES;
Input;Almond, consumption mix {FR} U;Almonds, in shell, at farm {CN} - Adapted from WFLDB U;0,0;kg;CN used as a substitute for FR;
Input;Almond, consumption mix {FR} U;Almonds, in shell, at farm {CN} - Adapted from WFLDB U;0,3;kg;CN used as a substitute for US;
Output;Amaranth, consumption mix {FR} U;Amaranth, consumption mix {FR} U;1,0;kg;;
Input;Amaranth, consumption mix {FR} U;Durum wheat grain, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;American bass, consumption mix {FR} U;American bass, consumption mix {FR} U;1,0;kg;;
Input;American bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;American bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;American bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0,4;kg;;
Output;American or Canadian sea scallop, consumption mix {FR} U;American or Canadian sea scallop, consumption mix {FR} U;1,0;kg;;
Input;American or Canadian sea scallop, consumption mix {FR} U;Great Scallop, Pecten maximus, BSBrieuc, Dredge, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;American or Canadian sea scallop, consumption mix {FR} U;Great Scallop, Pecten maximus, BSBrieuc, Dredge, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;American or Canadian sea scallop, consumption mix {FR} U;Great Scallop, Pecten maximus, BSBrieuc, Dredge, average, at landing {FR} U;0,4;kg;;
Output;Anchovy fillets, in oil, semi-preserved, consumption mix {FR} U;Anchovy fillets, in oil, semi-preserved, consumption mix {FR} U;1,0;kg;;
Input;Anchovy fillets, in oil, semi-preserved, consumption mix {FR} U;Anchovy, main product, ECA, Seine, fresh, at landing {FR} U;0,5;kg;;
Input;Anchovy fillets, in oil, semi-preserved, consumption mix {FR} U;Anchovy, main product, ECA, Seine, pre-salted {FR};0,5;kg;;
Output;Anchovy, consumption mix {FR} U;Anchovy, consumption mix {FR} U;1,0;kg;;
Input;Anchovy, consumption mix {FR} U;European Anchovy, Engraulis encrasicolus, ECA, Seine, average, at landing {MA} U;0,3;kg;EU process assumed to be the same as French;
Input;Anchovy, consumption mix {FR} U;European Anchovy, Engraulis encrasicolus, ECA, Seine, average, at landing {MA} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Anchovy, consumption mix {FR} U;European Anchovy, Engraulis encrasicolus, ECA, Seine, average, at landing {MA} U;0,4;kg;;
Output;Anglerfish, consumption mix {FR} U;Anglerfish, consumption mix {FR} U;1,0;kg;;
Input;Anglerfish, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Anglerfish, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Anglerfish, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,4;kg;;
Output;Apple, dried, consumption mix {FR} U;Apple, dried, consumption mix {FR} U;1,0;kg;;
Input;Apple, dried, consumption mix {FR} U;Apple, conventional, national average, at orchard {FR} U;4,7;kg;;
Output;Apricot, consumption mix {FR} U;Apricot, consumption mix {FR} U;1,0;kg;;
Input;Apricot, consumption mix {FR} U;Apricot, conventional, national average, at orchard {FR} U;1,0;kg;;
Output;Arctic char, consumption mix {FR} U;Arctic char, consumption mix {FR} U;1,0;kg;;
Input;Arctic char, consumption mix {FR} U;Small trout, 250-350g, conventional, at farm gate {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Arctic char, consumption mix {FR} U;Small trout, 250-350g, conventional, at farm gate {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Arctic char, consumption mix {FR} U;Small trout, 250-350g, conventional, at farm gate {FR} U;0,4;kg;;
Output;Artichoke, consumption mix {FR} U;Artichoke, consumption mix {FR} U;1,0;kg;;
Input;Artichoke, consumption mix {FR} U;Cauliflower, conventional, national average, at farm gate {FR} U;1,0;kg;;
Output;Asparagus, consumption mix {FR} U;Asparagus, consumption mix {FR} U;1,0;kg;;
Input;Asparagus, consumption mix {FR} U;White asparagus {FR}| white asparagus production | Cut-off, U - Copied from Ecoinvent U;0,3;kg;FR used as a substitute for ES;
Input;Asparagus, consumption mix {FR} U;White asparagus {FR}| white asparagus production | Cut-off, U - Copied from Ecoinvent U;0,7;kg;;
Output;Atlantic bass, consumption mix {FR} U;Atlantic bass, consumption mix {FR} U;1,0;kg;;
Input;Atlantic bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Atlantic bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Atlantic bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0,4;kg;;
Output;Atlantic chub mackerel, consumption mix {FR} U;Atlantic chub mackerel, consumption mix {FR} U;1,0;kg;;
Input;Atlantic chub mackerel, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0,3;kg;EU process assumed to be the same as French;
Input;Atlantic chub mackerel, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Atlantic chub mackerel, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0,4;kg;;
Output;Atlantic halibut, consumption mix {FR} U;Atlantic halibut, consumption mix {FR} U;1,0;kg;;
Input;Atlantic halibut, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Atlantic halibut, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Atlantic halibut, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0,4;kg;;
Output;Atlantic herring, consumption mix {FR} U;Atlantic herring, consumption mix {FR} U;1,0;kg;;
Input;Atlantic herring, consumption mix {FR} U;Atlantic Herring, Clupea harengus, NEA, Pelagic Trawl, average, at landing {NL} U;0,3;kg;EU process assumed to be the same as French;
Input;Atlantic herring, consumption mix {FR} U;Atlantic Herring, Clupea harengus, NEA, Pelagic Trawl, average, at landing {NL} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Atlantic herring, consumption mix {FR} U;Atlantic Herring, Clupea harengus, NEA, Pelagic Trawl, average, at landing {NL} U;0,4;kg;;
Output;Auvergne cheese, from cow's milk, consumption mix {FR} U;Auvergne cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Auvergne cheese, from cow's milk, consumption mix {FR} U;Auvergne blue cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Auvergne soft cheese (PGi) {FR} U;1,0;kg;;
Output;Avocado oil, consumption mix {FR} U;Avocado oil, consumption mix {FR} U;1,0;kg;;
Input;Avocado oil, consumption mix {FR} U;Avocado oil, at oil mill {CL} U;0,1;kg;;
Input;Avocado oil, consumption mix {FR} U;Avocado oil, at oil mill {ES} U;0,3;kg;;
Input;Avocado oil, consumption mix {FR} U;Avocado oil, at oil mill {FR} U;0,0;kg;;
Input;Avocado oil, consumption mix {FR} U;Avocado oil, at oil mill {IL} U;0,2;kg;;
Input;Avocado oil, consumption mix {FR} U;Avocado oil, at oil mill {MX} U;0,1;kg;;
Input;Avocado oil, consumption mix {FR} U;Avocado oil, at oil mill {PE} U;0,3;kg;;
Output;Avocado, consumption mix {FR} U;Avocado, consumption mix {FR} U;1,0;kg;;
Input;Avocado, consumption mix {FR} U;Avocado {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0,1;kg;GLO used as a substitute for CL;
Input;Avocado, consumption mix {FR} U;Avocado {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0,3;kg;GLO used as a substitute for ES;
Input;Avocado, consumption mix {FR} U;Avocado {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0,0;kg;GLO used as a substitute for FR;
Input;Avocado, consumption mix {FR} U;Avocado {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0,2;kg;GLO used as a substitute for IL;
Input;Avocado, consumption mix {FR} U;Avocado {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0,1;kg;GLO used as a substitute for MX;
Input;Avocado, consumption mix {FR} U;Avocado {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0,3;kg;GLO used as a substitute for PE;
Output;Bamboo shoots, consumption mix {FR} U;Bamboo shoots, consumption mix {FR} U;1,0;kg;;
Input;Bamboo shoots, consumption mix {FR} U;White asparagus {FR}| white asparagus production | Cut-off, U - Copied from Ecoinvent U;1,0;kg;;
Output;Banana plantain, consumption mix {FR} U;Banana plantain, consumption mix {FR} U;1,0;kg;;
Input;Banana plantain, consumption mix {FR} U;Banana, full production years (phase), mixed production, West Indies, at farm gate {WI} U;0,4;kg;WI used as a substitute for BE;
Input;Banana plantain, consumption mix {FR} U;Banana {RoW}| banana production | Cut-off, U - Adapted from Ecoinvent U;0,4;kg;RoW used as a substitute for CO;
Input;Banana plantain, consumption mix {FR} U;Banana {RoW}| banana production | Cut-off, U - Adapted from Ecoinvent U;0,3;kg;RoW used as a substitute for EC;
Output;Banana, consumption mix {FR} U;Banana, consumption mix {FR} U;1,0;kg;;
Input;Banana, consumption mix {FR} U;Banana, mixed production, West Indies, at farm gate {WI} U;0,4;kg;WI used as a substitute for FR;
Input;Banana, consumption mix {FR} U;Banana, at farm {GLO} - Adapted from WFLDB U;0,3;kg;RoW used as a substitute for CI;
Input;Banana, consumption mix {FR} U;Banana, at farm {GLO} - Adapted from WFLDB U;0,2;kg;RoW used as a substitute for CM;
Input;Banana, consumption mix {FR} U;Banana, at farm {CR} - Adapted from WFLDB U;0,1;kg;RoW used as a substitute for DO;
Output;Banana, peeled, dried, consumption mix {FR} U;Banana, peeled, dried, consumption mix {FR} U;1,0;kg;;
Input;Banana, peeled, dried, consumption mix {FR} U;Banana, full production years (phase), mixed production, West Indies, at farm gate {WI} U;2,4;kg;WI used as a substitute for FR 1kg banana peeled =1,428 kg freh banana;
Input;Banana, peeled, dried, consumption mix {FR} U;Banana {RoW}| banana production | Cut-off, U - Adapted from Ecoinvent U;1,5;kg;RoW used as a substitute for CI 1kg banana peeled =1,428 kg freh banana;
Input;Banana, peeled, dried, consumption mix {FR} U;Banana {RoW}| banana production | Cut-off, U - Adapted from Ecoinvent U;1,3;kg;RoW used as a substitute for CM 1kg banana peeled =1,428 kg freh banana;
Input;Banana, peeled, dried, consumption mix {FR} U;Banana {RoW}| banana production | Cut-off, U - Adapted from Ecoinvent U;0,5;kg;RoW used as a substitute for DO1kg banana peeled =1,428 kg freh banana;
Output;Barley, consumption mix {FR} U;Barley, consumption mix {FR} U;1,0;kg;;
Input;Barley, consumption mix {FR} U;Barley grain {FR}| barley production | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;;
Output;Barley, for malting processing, consumption mix {FR} U;Barley, for malting processing, consumption mix {FR} U;1,0;kg;;
Input;Barley, for malting processing, consumption mix {FR} U;Winter barley, conventional, malting quality, animal feed, at farm gate {FR} U;1,0;kg;;
Output;Basil, dried, consumption mix {FR} U;Basil, dried, consumption mix {FR} U;1,0;kg;;
Input;Basil, dried, consumption mix {FR} U;Mint {RoW}| mint production | Cut-off, U - Adapted from Ecoinvent U;5,0;kg;Water content of fresh and dry mint according to CIQUAL 2020 (proxy for basil);
Output;Basil, fresh, consumption mix {FR} U;Basil, fresh, consumption mix {FR} U;1,0;kg;;
Input;Basil, fresh, consumption mix {FR} U;Mint {RoW}| mint production | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;;
Output;Basmati rice, consumption mix {FR} U;Basmati rice, consumption mix {FR} U;1,0;kg;;
Input;Basmati rice, consumption mix {FR} U;Rice, basmati {IN}| rice production, basmati | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;;
Output;Bay, consumption mix {FR} U;Bay, consumption mix {FR} U;1,0;kg;;
Input;Bay, consumption mix {FR} U;Mint {RoW}| mint production | Cut-off, U - Adapted from Ecoinvent U;1,0;kg;;
Output;Beans, consumption mix {FR} U;Beans, consumption mix {FR} U;1,0;kg;;
Input;Beans, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;0,2;kg;;
Input;Beans, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;0,3;kg;FR used as a substitute for AR;
Input;Beans, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;0,1;kg;FR used as a substitute for CA;
Input;Beans, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;0,1;kg;FR used as a substitute for ET;
Input;Beans, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;0,3;kg;FR used as a substitute for US;
Output;Beaufort cheese, from cow's milk, consumption mix {FR} U;Beaufort cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Beaufort cheese, from cow's milk, consumption mix {FR} U;Beaufort cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Beaufort cheese (PGi) {FR} U;1,0;kg;;
Output;Beetroot juice, pure juice, consumption mix {FR} U;Beetroot juice, pure juice, consumption mix {FR} U;1,0;kg;;
Input;Beetroot juice, pure juice, consumption mix {FR} U;Beetroot juice, pure juice, at processing {DE} U;1,0;kg;From an expert in beetroot production.;
Output;Beetroot, consumption mix {FR} U;Beetroot, consumption mix {FR} U;1,0;kg;;
Input;Beetroot, consumption mix {FR} U;Beetroot for juice, conventional, at farm gate {FR} U;1,0;kg;;
Output;Big-scale sand smelt, consumption mix {FR} U;Big-scale sand smelt, consumption mix {FR} U;1,0;kg;;
Input;Big-scale sand smelt, consumption mix {FR} U;European Pilchard, Sardina pilchardus, ECA, Seine, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Big-scale sand smelt, consumption mix {FR} U;European Pilchard, Sardina pilchardus, ECA, Seine, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Big-scale sand smelt, consumption mix {FR} U;European Pilchard, Sardina pilchardus, ECA, Seine, average, at landing {FR} U;0,4;kg;;
Output;Bigeye scad, consumption mix {FR} U;Bigeye scad, consumption mix {FR} U;1,0;kg;;
Input;Bigeye scad, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0,3;kg;EU process assumed to be the same as French;
Input;Bigeye scad, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Bigeye scad, consumption mix {FR} U;Atlantic Mackerel, Scomber scombrus, NEA, Pelagic Trawl, average, at landing {NL} U;0,4;kg;;
Output;Black mulberry, consumption mix {FR} U;Black mulberry, consumption mix {FR} U;1,0;kg;;
Input;Black mulberry, consumption mix {FR} U;Blackberry, at farm {RS} - Adapted from WFLDB U;1,0;kg;RS used as a substitute for FR;
Output;Black pepper, dried, consumption mix {FR} U;Black pepper, dried, consumption mix {FR} U;1,0;kg;;
Input;Black pepper, dried, consumption mix {FR} U;Black pepper, dried, conventional, at plant {VN} U;0,6;kg;Consumption mix based on the International Pepper Community - Production figures - 2019;
Input;Black pepper, dried, consumption mix {FR} U;Black pepper, dried, conventional, at plant {BR} U;0,2;kg;Consumption mix based on the International Pepper Community - Production figures - 2019;
Input;Black pepper, dried, consumption mix {FR} U;Black pepper, dried, conventional, at plant {ID} U;0,1;kg;Consumption mix based on the International Pepper Community - Production figures - 2019;
Input;Black pepper, dried, consumption mix {FR} U;Black pepper, dried, conventional, at plant {IN} U;0,1;kg;Consumption mix based on the International Pepper Community - Production figures - 2019;
Output;Black seabream, consumption mix {FR} U;Black seabream, consumption mix {FR} U;1,0;kg;;
Input;Black seabream, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Black seabream, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Black seabream, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0,4;kg;;
Output;Blackberries, consumption mix {FR} U;Blackberries, consumption mix {FR} U;1,0;kg;;
Input;Blackberries, consumption mix {FR} U;Blackberry, at farm {RS} - Adapted from WFLDB U;1,0;kg;RS used as a substitute for FR;
Output;Blackspot seabream, consumption mix {FR} U;Blackspot seabream, consumption mix {FR} U;1,0;kg;;
Input;Blackspot seabream, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Blackspot seabream, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Blackspot seabream, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0,4;kg;;
Output;Blue cheese, from cow's milk, consumption mix {FR} U;Blue cheese, from cow's milk, consumption mix {FR} U;1,0;kg;;
Input;Blue cheese, from cow's milk, consumption mix {FR} U;Blue cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Blue soft cheese (PGi) {FR} U;1,0;kg;;
Output;Blue grenadier, consumption mix {FR} U;Blue grenadier, consumption mix {FR} U;1,0;kg;;
Input;Blue grenadier, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0,3;kg;EU process assumed to be the same as French;
Input;Blue grenadier, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Blue grenadier, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0,4;kg;;
Output;Blue ling, consumption mix {FR} U;Blue ling, consumption mix {FR} U;1,0;kg;;
Input;Blue ling, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Blue ling, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Blue ling, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,4;kg;;
Output;Blue shark, consumption mix {FR} U;Blue shark, consumption mix {FR} U;1,0;kg;;
Input;Blue shark, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Blue shark, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Blue shark, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0,4;kg;;
Output;Blueberries, consumption mix {FR} U;Blueberries, consumption mix {FR} U;1,0;kg;;
Input;Blueberries, consumption mix {FR} U;Blueberry, at farm {CA} - Adapted from WFLDB U;1,0;kg;CA used as a substitute for FR;
Output;Bogue, consumption mix {FR} U;Bogue, consumption mix {FR} U;1,0;kg;;
Input;Bogue, consumption mix {FR} U;European Pilchard, Sardina pilchardus, ECA, Seine, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Bogue, consumption mix {FR} U;European Pilchard, Sardina pilchardus, ECA, Seine, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Bogue, consumption mix {FR} U;European Pilchard, Sardina pilchardus, ECA, Seine, average, at landing {FR} U;0,4;kg;;
Output;Bonito, consumption mix {FR} U;Bonito, consumption mix {FR} U;1,0;kg;;
Input;Bonito, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0,3;kg;EU process assumed to be the same as French;
Input;Bonito, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0,3;kg;Non-EU process assumed to be the same as French;
Input;Bonito, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0,4;kg;;
Output;Brandy, consumption mix {FR} U;Brandy, consumption mix {FR} U;1,0;kg;;
Input;Brandy, consumption mix {FR} U;Brandy production, wine, pure alcohol, French production mix, at plant, 1L brandy (PDi) {FR} U;1,0;l;Packaging is included in this dataset;
Output;Brazil nuts, with shell, consumption mix {FR} U;Brazil nuts, with shell, consumption mix {FR} U;1,0;kg;;
Input;Brazil nuts, with shell, consumption mix {FR} U;Peanut {AR}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,5;kg;AR used as a substitute for BO;
Input;Brazil nuts, with shell, consumption mix {FR} U;Peanut {AR}| peanut production | Cut-off, U - Adapted from Ecoinvent U;0,5;kg;AR used as a substitute for BR;
Output;Breadfruit, consumption mix {FR} U;Breadfruit, consumption mix {FR} U;1,0;kg;;
Input;Breadfruit, consumption mix {FR} U;Mango, conventional, Val de San Francisco, at orchard {BR} U;1,0;kg;;
